Fecha;Precio $
16/05/2019;72,61Ê$
17/05/2019;72,57Ê$
20/05/2019;72,47Ê$
21/05/2019;71,71Ê$
22/05/2019;71,03Ê$
23/05/2019;68,56Ê$
24/05/2019;67,40Ê$
27/05/2019;67,42Ê$
28/05/2019;68,84Ê$
29/05/2019;67,75Ê$
30/05/2019;67,10Ê$
31/05/2019;64,15Ê$
03/06/2019;61,61Ê$
04/06/2019;61,63Ê$
05/06/2019;61,04Ê$
06/06/2019;60,88Ê$
07/06/2019;62,71Ê$
10/06/2019;63,01Ê$
11/06/2019;62,56Ê$
12/06/2019;61,01Ê$
13/06/2019;61,51Ê$
14/06/2019;61,25Ê$
17/06/2019;61,60Ê$
18/06/2019;61,43Ê$
19/06/2019;62,21Ê$
20/06/2019;63,95Ê$
21/06/2019;65,29Ê$
24/06/2019;65,05Ê$
25/06/2019;64,79Ê$
26/06/2019;65,60Ê$
27/06/2019;65,61Ê$
28/06/2019;65,60Ê$
01/07/2019;65,71Ê$
02/07/2019;63,95Ê$
03/07/2019;62,69Ê$
04/07/2019;63,43Ê$
05/07/2019;63,55Ê$
08/07/2019;64,72Ê$
09/07/2019;64,35Ê$
10/07/2019;66,10Ê$
11/07/2019;67,57Ê$
12/07/2019;67,36Ê$
15/07/2019;66,79Ê$
16/07/2019;66,13Ê$
17/07/2019;64,60Ê$
18/07/2019;63,10Ê$
19/07/2019;62,93Ê$
22/07/2019;64,27Ê$
23/07/2019;63,92Ê$
24/07/2019;64,58Ê$
25/07/2019;64,55Ê$
26/07/2019;64,02Ê$
29/07/2019;63,79Ê$
30/07/2019;64,62Ê$
31/07/2019;65,53Ê$
01/08/2019;63,37Ê$
02/08/2019;61,55Ê$
05/08/2019;60,41Ê$
06/08/2019;59,59Ê$
07/08/2019;57,70Ê$
08/08/2019;57,38Ê$
09/08/2019;57,88Ê$
12/08/2019;57,84Ê$
13/08/2019;59,34Ê$
14/08/2019;59,88Ê$
15/08/2019;58,77Ê$
16/08/2019;59,03Ê$
19/08/2019;59,46Ê$
20/08/2019;59,94Ê$
21/08/2019;60,66Ê$
22/08/2019;60,50Ê$
23/08/2019;59,67Ê$
26/08/2019;59,18Ê$
27/08/2019;58,98Ê$
28/08/2019;60,16Ê$
29/08/2019;60,24Ê$
30/08/2019;60,11Ê$
02/09/2019;58,76Ê$
03/09/2019;57,81Ê$
04/09/2019;58,97Ê$
05/09/2019;60,58Ê$
06/09/2019;60,75Ê$
09/09/2019;62,00Ê$
10/09/2019;62,74Ê$
11/09/2019;62,08Ê$
12/09/2019;60,51Ê$
13/09/2019;60,02Ê$
16/09/2019;66,43Ê$
17/09/2019;67,88Ê$
18/09/2019;64,57Ê$
19/09/2019;64,39Ê$
20/09/2019;65,30Ê$
23/09/2019;64,51Ê$
24/09/2019;63,93Ê$
25/09/2019;62,35Ê$
26/09/2019;62,31Ê$
27/09/2019;62,51Ê$
30/09/2019;61,09Ê$
01/10/2019;59,68Ê$
02/10/2019;58,75Ê$
03/10/2019;57,99Ê$
04/10/2019;58,62Ê$
07/10/2019;59,12Ê$
08/10/2019;58,56Ê$
09/10/2019;58,68Ê$
10/10/2019;58,74Ê$
11/10/2019;60,97Ê$
14/10/2019;59,95Ê$
15/10/2019;59,62Ê$
16/10/2019;59,28Ê$
17/10/2019;59,54Ê$
18/10/2019;60,06Ê$
21/10/2019;59,50Ê$
22/10/2019;59,78Ê$
23/10/2019;60,42Ê$
24/10/2019;61,63Ê$
25/10/2019;62,16Ê$
28/10/2019;61,65Ê$
29/10/2019;61,44Ê$
30/10/2019;61,24Ê$
31/10/2019;60,52Ê$
01/11/2019;60,19Ê$
04/11/2019;62,00Ê$
05/11/2019;62,57Ê$
06/11/2019;62,39Ê$
07/11/2019;62,32Ê$
08/11/2019;61,98Ê$
11/11/2019;62,26Ê$
12/11/2019;62,82Ê$
13/11/2019;62,48Ê$
14/11/2019;63,00Ê$
15/11/2019;63,12Ê$
18/11/2019;63,44Ê$
19/11/2019;62,51Ê$
20/11/2019;62,22Ê$
21/11/2019;63,68Ê$
22/11/2019;64,56Ê$
25/11/2019;64,21Ê$
26/11/2019;63,92Ê$
27/11/2019;64,40Ê$
28/11/2019;63,94Ê$
29/11/2019;63,83Ê$
02/12/2019;62,50Ê$
03/12/2019;62,57Ê$
04/12/2019;63,39Ê$
05/12/2019;64,81Ê$
06/12/2019;65,24Ê$
09/12/2019;65,57Ê$
10/12/2019;65,66Ê$
11/12/2019;65,38Ê$
12/12/2019;65,81Ê$
13/12/2019;66,76Ê$
16/12/2019;67,22Ê$
17/12/2019;67,48Ê$
18/12/2019;67,77Ê$
19/12/2019;67,93Ê$
20/12/2019;68,00Ê$
23/12/2019;67,58Ê$
24/12/2019;67,99Ê$
26/12/2019;68,48Ê$
27/12/2019;69,07Ê$
30/12/2019;68,89Ê$
31/12/2019;67,96Ê$

